File	Unused	Total	ID
1	5.82	5.82	Efra.gene12442_i0_length1134.p1
1	0	5.82	Efra.gene12280_i0_length1146.p1
1	0	5.82	Efra.gene10979_i0_length1233.p1
1	0	5.82	Efra.gene12182_i0_length1149.p1
1	0	5.82	Efra.gene14059_i2_length1041.p1
1	0	5.82	Efra.gene12819_i0_length1113.p1
1	0	5.82	Efra.gene10979_i3_length1134.p1
2	5.8	5.8	Efra.gene12182_i0_length1149.p1
2	0	5.8	Efra.gene10979_i0_length1233.p1
2	0	5.8	Efra.gene14059_i2_length1041.p1
2	0	5.8	Efra.gene12442_i0_length1134.p1
2	0	5.8	Efra.gene12280_i0_length1146.p1
2	0	5.8	Efra.gene10979_i3_length1134.p1
2	0	5.8	Efra.gene12819_i0_length1113.p1
3.1	10.49	10.49	Efra.gene12182_i0_length1149.p1
3.1	0	10.41	Efra.gene10979_i0_length1233.p1
3.1	0	8.37	Efra.gene12442_i0_length1134.p1
3.1	0	8.37	Efra.gene10979_i3_length1134.p1
3.2	2.04	8.45	Efra.gene14605_i0_length1011.p1
3.2	0	10.41	Efra.gene14059_i2_length1041.p1
3.2	0	10.41	Efra.gene12819_i0_length1113.p1
3.2	0	8.31	Efra.gene14059_i1_length735.p1
3.2	0	4	Efra.gene71089_i0_length264.p1
4.1	12.4	12.4	Efra.gene14059_i2_length1041.p1
4.2	1.41	10.3	Efra.gene12182_i0_length1149.p1
4.2	0	10.19	Efra.gene10979_i0_length1233.p1
4.2	0	4.21	Efra.gene14059_i0_length852.p1
4.2	0	1.37	Efra.gene27610_i0_length534.p1
5	4.01	4.01	Efra.gene12442_i0_length1134.p1
5	0	4.01	Efra.gene12182_i0_length1149.p1
5	0	4.01	Efra.gene10979_i0_length1233.p1
5	0	4.01	Efra.gene12280_i0_length1146.p1
5	0	4.01	Efra.gene10979_i3_length1134.p1
5	0	4.01	Efra.gene14059_i2_length1041.p1
5	0	4.01	Efra.gene12819_i0_length1113.p1
6	4.08	4.08	Efra.gene14059_i2_length1041.p1
6	0	4.08	Efra.gene12819_i0_length1113.p1
6	0	4.08	Efra.gene12442_i0_length1134.p1
6	0	4.08	Efra.gene12280_i0_length1146.p1
6	0	4.08	Efra.gene12182_i0_length1149.p1
6	0	4.08	Efra.gene10979_i3_length1134.p1
6	0	4.08	Efra.gene10979_i0_length1233.p1
6	0	2.05	Efra.gene14605_i0_length1011.p1
6	0	2.05	Efra.gene56636_i1_length297.p1
6	0	2.05	Efra.gene37608_i0_length393.p1
6	0	2.05	Efra.gene14817_i1_length748.p1
6	0	2.05	Efra.gene14059_i1_length735.p1
6	0	2.05	Efra.gene10979_i2_length504.p1
6	0	2.05	Efra.gene10979_i1_length633.p1
7	7.89	7.89	Efra.gene12182_i0_length1149.p1
7	0	7.89	Efra.gene10979_i3_length1134.p1
7	0	7.56	Efra.gene12442_i0_length1134.p1
7	0	7.56	Efra.gene10979_i0_length1233.p1
7	0	7.56	Efra.gene14059_i2_length1041.p1
7	0	7.56	Efra.gene12280_i0_length1146.p1
7	0	7.56	Efra.gene12819_i0_length1113.p1
8.1	16.61	16.61	Efra.gene12442_i0_length1134.p1
8.2	2.7	16.29	Efra.gene14605_i0_length1011.p1
8.2	0	16.29	Efra.gene14059_i2_length1041.p1
8.2	0	16	Efra.gene12819_i0_length1113.p1
8.2	0	12.27	Efra.gene14059_i1_length735.p1
8.2	0	2	Efra.gene71089_i0_length264.p1
8.3	0.54	16.29	Efra.gene12182_i0_length1149.p1
9.1	14	14	Efra.gene12442_i0_length1134.p1
9.2	2.02	12.05	Efra.gene14059_i2_length1041.p1
9.2	0	12	Efra.gene12819_i0_length1113.p1
9.2	0	10.07	Efra.gene14605_i0_length1011.p1
9.2	0	8	Efra.gene14059_i1_length735.p1
9.2	0	2	Efra.gene71089_i0_length264.p1
9.3	0.34	12	Efra.gene10979_i3_length1134.p1
9.3	0	10	Efra.gene12182_i0_length1149.p1
9.3	0	8	Efra.gene14817_i2_length996.p1
9.3	0	2	Efra.gene34981_i0_length420.p1
10.1	17.8	17.8	Efra.gene14059_i2_length1041.p1
10.2	5.24	17.23	Efra.gene12182_i0_length1149.p1
10.2	0	15.77	Efra.gene10979_i0_length1233.p1
10.2	0	10.04	Efra.gene14059_i0_length852.p1
10.2	0	6.04	Efra.gene27610_i0_length534.p1
10.3	4	15.79	Efra.gene12442_i0_length1134.p1
10.3	0	15.04	Efra.gene10979_i3_length1134.p1
10.3	0	11.64	Efra.gene10979_i1_length633.p1
10.3	0	9.64	Efra.gene14817_i1_length748.p1
10.3	0	9.36	Efra.gene14817_i2_length996.p1
10.3	0	6	Efra.gene15592_i0_length957.p1
10.3	0	2	Efra.gene12442_i1_length459.p1
11.1	17.68	17.68	Efra.gene12442_i0_length1134.p1
11.2	4	17.06	Efra.gene10979_i3_length1134.p1
11.2	0	16.31	Efra.gene12182_i0_length1149.p1
11.2	0	13.06	Efra.gene14817_i1_length748.p1
11.2	0	13.06	Efra.gene10979_i1_length633.p1
11.2	0	11.04	Efra.gene10979_i2_length504.p1
11.2	0	8.97	Efra.gene56636_i1_length297.p1
11.2	0	8	Efra.gene14817_i2_length996.p1
11.2	0	2	Efra.gene34981_i0_length420.p1
11.3	2.03	17.14	Efra.gene14059_i2_length1041.p1
11.3	0	15.06	Efra.gene14605_i0_length1011.p1
11.3	0	13.29	Efra.gene12819_i0_length1113.p1
11.3	0	13.06	Efra.gene14059_i1_length735.p1
11.3	0	2	Efra.gene71089_i0_length264.p1
