N	Unused	Accession	n	gFDR*k
695	2.02	RRRRR_sp|P25205|MCM3_HUMAN	1	0.143884892
761	2	RRRRR_sp|O43745|CHP2_HUMAN	2	0.262812089
867	1.39	RRRRR_sp|P35580|MYH10_HUMAN	3	0.346020761
885	1.2	RRRRR_sp|O14773|TPP1_HUMAN	4	0.451977401
924	0.93	RRRRR_sp|Q9BZL4|PP12C_HUMAN	5	0.541125541
925	0.92	RRRRR_sp|Q5CZC0|FSIP2_HUMAN	6	0.648648649
937	0.85	RRRRR_sp|Q9H6N6|MYH16_HUMAN	7	0.747065101
948	0.77	RRRRR_sp|Q9NPP4|NLRC4_HUMAN	8	0.843881857
976	0.65	RRRRR_sp|Q96PE7|MCEE_HUMAN	9	0.922131148
980	0.64	RRRRR_sp|A8MYU2|KCNU1_HUMAN	10	1.020408163
989	0.59	RRRRR_sp|Q9H269|VPS16_HUMAN	11	1.112234580
990	0.59	RRRRR_sp|Q969J5|I22R2_HUMAN	12	1.212121212
1002	0.53	RRRRR_sp|Q99683|M3K5_HUMAN	13	1.297405190
1011	0.5	RRRRR_sp|Q9BWT3|PAPOG_HUMAN	14	1.384767557
1014	0.48	RRRRR_sp|Q9HBU9|POPD2_HUMAN	15	1.479289941
1020	0.47	RRRRR_sp|Q9BUB5|MKNK1_HUMAN	16	1.568627451
1027	0.45	RRRRR_sp|A1IGU5|ARH37_HUMAN	17	1.655306719
1041	0.39	RRRRR_sp|Q96G03|PGM2_HUMAN	18	1.729106628
1044	0.38	RRRRR_sp|P02708|ACHA_HUMAN	19	1.819923372
1050	0.36	RRRRR_tr|F8W031|F8W031_HUMAN	20	1.904761905
1055	0.34	RRRRR_sp|Q9P2U8|VGLU2_HUMAN	21	1.990521327
1061	0.32	RRRRR_sp|Q5TYW1|ZN658_HUMAN	22	2.073515551
1065	0.32	RRRRR_sp|Q96BQ5|CC127_HUMAN	23	2.159624413
1067	0.31	RRRRR_sp|Q86UK0|ABCAC_HUMAN	24	2.249297095
1068	0.31	RRRRR_sp|Q9HBL0|TENS1_HUMAN	25	2.340823970
1078	0.27	RRRRR_sp|Q9UQ35|SRRM2_HUMAN	26	2.411873840
1084	0.26	RRRRR_sp|P53804|TTC3_HUMAN	27	2.490774908
1095	0.24	RRRRR_sp|Q9BUQ8|DDX23_HUMAN	28	2.557077626
1096	0.24	RRRRR_sp|O43157|PLXB1_HUMAN	29	2.645985401
1104	0.23	RRRRR_sp|Q9P2X0|DPM3_HUMAN	30	2.717391304
1106	0.23	RRRRR_sp|Q8N1W1|ARG28_HUMAN	31	2.802893309
1108	0.23	RRRRR_sp|O43264|ZW10_HUMAN	32	2.888086643
1109	0.23	RRRRR_sp|Q6AHZ1|Z518A_HUMAN	33	2.975653742
1112	0.23	RRRRR_sp|Q8NA54|IQUB_HUMAN	34	3.057553957
1115	0.22	RRRRR_sp|Q8N5U0|CK042_HUMAN	35	3.139013453
1116	0.22	RRRRR_sp|Q9UK96|FBX10_HUMAN	36	3.225806452
1131	0.2	RRRRR_sp|Q96JB1|DYH8_HUMAN	37	3.271441202
1142	0.19	RRRRR_sp|Q9BYN8|RT26_HUMAN	38	3.327495622
1145	0.18	RRRRR_sp|Q5BIV9|SPRN_HUMAN	39	3.406113537
1148	0.18	RRRRR_sp|P55201|BRPF1_HUMAN	40	3.484320557
1152	0.18	RRRRR_sp|Q969S9|RRF2M_HUMAN	41	3.559027778
1153	0.18	RRRRR_sp|P08519|APOA_HUMAN	42	3.642671292
1154	0.18	RRRRR_sp|Q496A3|SPAS1_HUMAN	43	3.726169844
1156	0.17	RRRRR_sp|Q99575|POP1_HUMAN	44	3.806228374
1159	0.17	RRRRR_sp|Q08188|TGM3_HUMAN	45	3.882657463
1166	0.16	RRRRR_sp|Q5VST9|OBSCN_HUMAN	46	3.945111492
