N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Gene Ontology	Gene Names	Pathway	Interactions	Protein Families	Subcellular Location	Function	Disease	Tissue Specificity	Keywords	Modifications	Natural Variants	Glycosylations	Propeptide	Signal Peptide	Initiator Methionine	Sequence Conflicts	Sequence Uncertainties	Alternative Sequence	Non-Standard Residues	Lipidations	Disulfide Bonds	Cross Links	Protein Existence	InterPro	Polymorphism	PTM	RNA Editing	Active Site	Binding Site	Entry	Entry Name	Entry Status	Sequence	Protein Names	Organism	Sequence Length	Features	Mass Spectrometry	Virus Hosts	Entry Information
1	70.73	70.73	63.1699979305267	27.7700006961823	22.2900003194809	sp|P21333|FLNA_HUMAN	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	HUMAN	35																																												
2	70	70.07	50.9400010108948	13.5199993848801	11.7499999701977	sp|P78527|PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3	HUMAN	35																																												
3	54.33	54.31	67.330002784729	30.1999986171722	26.3300001621246	sp|P31327|CPSM_HUMAN	Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2	HUMAN	27																																												
4	47.81	47.81	79.2800009250641	57.4400007724762	55.1800012588501	sp|P14618|KPYM_HUMAN	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	HUMAN	35																																												
5	47.35	49.17	56.2300026416779	17.2199994325638	13.6000007390976	sp|O75369|FLNB_HUMAN	Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2	HUMAN	23																																												
6	43.49	43.49	84.2700004577637	69.870001077652	67.1999990940094	sp|P63261|ACTG_HUMAN	Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1	HUMAN	39																																												
7	43.46	43.49	69.4599986076355	34.1500014066696	27.5099992752075	sp|P13639|EF2_HUMAN	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	HUMAN	22																																												
8	37.64	37.64	73.5499978065491	29.3099999427795	25.2499997615814	sp|O43707|ACTN4_HUMAN	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	HUMAN	18																																												
9	35.8	35.8	54.0300011634827	19.4600000977516	13.4299993515015	sp|Q00610|CLH1_HUMAN	Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5	HUMAN	15																																												
10	35.15	35.24	73.0499982833862	63.7000024318695	59.0200006961823	sp|Q9BQE3|TBA1C_HUMAN	Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1	HUMAN	22																																												
11	34.96	34.98	71.8200027942657	39.5000010728836	35.359999537468	sp|P08238|HS90B_HUMAN	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	HUMAN	20																																												
12	34.46	34.47	86.6400003433228	62.6699984073639	58.2899987697601	sp|P06733|ENOA_HUMAN	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	HUMAN	20																																												
13	34.36	34.38	81.3099980354309	58.3299994468689	52.700001001358	sp|P07437|TBB5_HUMAN	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	HUMAN	20																																												
14	33.83	33.9	62.4800026416779	26.4699995517731	22.7799996733665	sp|P22314|UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3	HUMAN	16																																												
15	31.57	31.57	81.2900006771088	56.1200022697449	54.9199998378754	sp|P00558|PGK1_HUMAN	Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3	HUMAN	20																																												
16	30.45	30.46	64.5500004291534	38.2400006055832	32.820001244545	sp|P11142|HSP7C_HUMAN	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	HUMAN	17																																												
17	30.01	30.02	83.160001039505	43.2799994945526	34.1199994087219	sp|P08729|K2C7_HUMAN	Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5	HUMAN	14																																												
18	27.56	27.56	80.2999973297119	60.9000027179718	57.3099970817566	sp|P04406|G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	HUMAN	24																																												
19	26.86	26.88	82.0100009441376	55.460000038147	48.0800002813339	sp|P07355|ANXA2_HUMAN	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	HUMAN	14																																												
20	26.53	26.56	59.960001707077	43.2900011539459	38.960000872612	sp|P68104|EF1A1_HUMAN	Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1	HUMAN	18																																												
20	0	26.56	58.6600005626678	38.3100003004074	33.9800000190735	sp|Q5VTE0|EF1A3_HUMAN	Putative elongation factor 1-alpha-like 3 OS=Homo sapiens OX=9606 GN=EEF1A1P5 PE=5 SV=1	HUMAN	17																																												
21	26.28	26.3	63.8800024986267	13.00999969244	11.6300001740456	sp|P35579|MYH9_HUMAN	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	HUMAN	14																																												
22	25.91	25.92	59.2100024223328	20.9199994802475	20.9199994802475	sp|P02786|TFR1_HUMAN	Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2	HUMAN	13																																												
23	25.49	25.53	84.5499992370605	39.9100005626678	28.5400003194809	sp|P08670|VIME_HUMAN	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	HUMAN	13																																												
24	25.41	25.44	73.9499986171722	27.6699990034103	22.8300005197525	sp|P55072|TERA_HUMAN	Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4	HUMAN	12																																												
25	25.2	25.22	73.7200021743774	38.9400005340576	30.8099985122681	sp|P06576|ATPB_HUMAN	ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3	HUMAN	13																																												
26	25.1	29.2	68.6500012874603	38.9899998903275	29.6600013971329	sp|P11021|BIP_HUMAN	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	HUMAN	15																																												
27	25.05	29.08	85.2999985218048	35.6099992990494	33.950001001358	sp|P05787|K2C8_HUMAN	Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7	HUMAN	18																																												
28	24.22	24.27	79.7699987888336	48.6000001430511	42.0899987220764	sp|P05783|K1C18_HUMAN	Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2	HUMAN	17																																												
29	24.01	24.07	62.6699984073639	22.4199995398521	19.2699998617172	sp|Q00839|HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	HUMAN	13																																												
30	23.94	23.99	61.5800023078918	30.8699995279312	23.1600001454353	cont|0038|ALBU_BOVIN	Serum albumin [Bos taurus (contaminant)]	Bos taurus (contaminant)	13																																												
31	23.51	28.36	68.1699991226196	45.2399998903275	36.6600006818771	sp|P0DMV9|HS71B_HUMAN	Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1	HUMAN	15																																												
31	0	28.36	68.1699991226196	45.2399998903275	36.6600006818771	sp|P0DMV8|HS71A_HUMAN	Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1	HUMAN	15																																												
32	22.9	22.93	86.2600028514862	58.5200011730194	56.3199996948242	sp|P04075|ALDOA_HUMAN	Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2	HUMAN	14																																												
33	21.52	21.53	54.9600005149841	14.6500006318092	10.7900001108646	sp|Q08211|DHX9_HUMAN	ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4	HUMAN	10																																												
34	20.91	20.94	55.9400022029877	12.9800006747246	9.1729998588562	sp|P46940|IQGA1_HUMAN	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1	HUMAN	9																																												
35	20.72	20.78	67.3200011253357	11.0699996352196	5.39899989962578	sp|Q09666|AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	HUMAN	9																																												
36	20.58	20.58	61.9499981403351	32.1099996566772	32.1099996566772	sp|P10809|CH60_HUMAN	60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	HUMAN	14																																												
37	20.09	21.85	58.0299973487854	20.0499996542931	17.5600007176399	sp|P14625|ENPL_HUMAN	Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	HUMAN	10																																												
38	19.61	19.65	71.670001745224	39.410001039505	36.9500011205673	sp|P60842|IF4A1_HUMAN	Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1	HUMAN	11																																												
39	19.53	19.56	79.5899987220764	20.550000667572	20.550000667572	sp|P52272|HNRPM_HUMAN	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3	HUMAN	10																																												
40	19.38	19.42	77.920001745224	64.3499970436096	52.0500004291534	sp|P63244|RACK1_HUMAN	Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3	HUMAN	10																																												
