N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	30.83	30.83	82.1799993515015	79.6999990940094	79.2100012302399	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	30					
2	29.71	29.71	60.2699995040894	55.8200001716614	47.9499995708466	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	18					
3	28.47	28.47	32.370001077652	17.679999768734	16.779999434948	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	14					
4	25.34	25.34	71.6099977493286	58.050000667572	58.050000667572	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	15					
5	22.8	22.8	58.4999978542328	51.8700003623962	49.5700001716614	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	24					
6	14.74	14.74	28.0000001192093	11.5699999034405	11.5699999034405	Efra.gene1853_i0_length2945.p1	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	i0_length2945.p1	9					
7	13.32	13.32	48.1799989938736	34.6500009298325	34.6500009298325	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		8					
8	10.05	10.05	22.4399998784065	17.7799999713898	17.7799999713898	Efra.gene9478_i0_length1353.p1	Gelsolin-like protein 2 (Actin-modulator) (EWAM-P2)	i0_length1353.p1	6					
9	10	10	63.8300001621246	54.610002040863	54.610002040863	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	5					
10	10	10	42.5999999046326	38.4600013494492	38.4600013494492	Efra.gene27122_i0_length543.p1	Globin C, coelomic	i0_length543.p1	6					
11	10	10	45.8999991416931	45.8999991416931	45.8999991416931	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	5					
12	9.8	9.8	24.66000020504	17.1900004148483	17.1900004148483	Efra.gene9826_i0_length1326.p1	Elongation factor 1-alpha (EF-1-alpha)	i0_length1326.p1	6					
12	0	9.8	18.1600004434586	14.8399993777275	14.8399993777275	Efra.gene7558_i0_length1539.p1	Elongation factor 1-alpha (EF-1-alpha)	i0_length1539.p1	6					
12	0	9.8	25.1399993896484	24.3000000715256	24.3000000715256	Efra.gene7558_i2_length1074.p1	Elongation factor 1-alpha (EF-1-alpha)	i2_length1074.p1	6					
13	7.9	7.9	36.3599985837936	32.9499989748001	14.7699996829033	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	3					
