Accession	Description
Efra.gene16498_i0_length912.p1	
Efra.gene24458_i0_length609.p1	Myophilin
Efra.gene50115_i0_length321.p1	
Efra.gene29886_i0_length489.p1	
Efra.gene14678_i0_length1005.p1	Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2) (TIMP-2)
Efra.gene42958_i0_length354.p1	Tenascin-R (TN-R) (Restrictin)
Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)
Efra.gene26710_i0_length552.p1	Profilin
Efra.gene49354_i0_length324.p1	Protocadherin Fat 3 (hFat3) (Cadherin family member 15) (FAT tumor suppressor homolog 3)
Efra.gene15574_i0_length957.p1	
Efra.gene18480_i1_length818.p1	Sushi domain-containing protein 2
Efra.gene1287_i0_length3423.p1	Nephronectin
Efra.gene42768_i0_length273.p1	
Efra.gene56589_i0_length261.p1	
Efra.gene27122_i0_length543.p1	Globin C, coelomic
Efra.gene20233_i0_length744.p1	C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280)
Efra.gene42777_i0_length357.p1	
Efra.gene41171_i0_length356.p1	
Efra.gene25400_i0_length486.p1	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)
Efra.gene12747_i0_length1116.p1	
Efra.gene32379_i0_length452.p1	
Efra.gene19494_i1_length774.p1	
Efra.gene59574_i0_length288.p1	Neuromacin
Efra.gene99937_i0_length225.p1	
Efra.gene62669_i0_length282.p1	Neuromacin-like protein
Efra.gene16536_i2_length909.p1	
Efra.gene38556_i0_length385.p1	
Efra.gene25963_i0_length570.p1	Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)]
Efra.gene9182_i0_length1380.p1	
Efra.gene47379_i0_length333.p1	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]
Efra.gene35579_i0_length414.p1	
Efra.gene14246_i0_length1029.p1	Metalloproteinase inhibitor 3 (Tissue inhibitor of metalloproteinases 3) (TIMP-3)
Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)
Efra.gene330_i0_length5295.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)
Efra.gene18607_i0_length813.p1	Sushi domain-containing protein 2
Efra.gene10049_i0_length1308.p1	
Efra.gene399_i0_length4974.p1	Fibropellin-1 (Epidermal growth factor-related protein 1) (Fibropellin-I) (SpEGF I) (UEGF-1)
Efra.gene18564_i2_length720.p1	Pentraxin fusion protein
Efra.gene482_i1_length4723.p1	Pregnancy zone protein (Alpha-2-macroglobulin) (Alpha-2-M) [Cleaved into: Alpha-2-macroglobulin 165 kDa subunit; Alpha-2-macroglobulin 35 kDa subunit]
Efra.gene110165_i0_length213.p1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Lymphocyte antigen 41) (Ly-41) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Cleaved into: Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form] [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]
Efra.gene38041_i0_length390.p1	Histone H4
Efra.gene34789_i0_length420.p1	
Efra.gene91141_i0_length234.p1	
Efra.gene23450_i0_length639.p1	Fibropellin-1 (Epidermal growth factor-related protein 1) (Fibropellin-I) (SpEGF I) (UEGF-1)
Efra.gene15484_i0_length963.p1	Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein)
Efra.gene10048_i0_length1308.p1	Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein)
Efra.gene68755_i0_length267.p1	
Efra.gene31160_i0_length470.p1	
Efra.gene19055_i1_length792.p1	Fibrinogen-like protein A (FREP-A)
Efra.gene15064_i0_length984.p1	Neurotrypsin (EC 3.4.21.-) (Serine protease 12)
Efra.gene22225_i1_length309.p1	Calmodulin-beta (Cam B) (Fragment)
Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)
Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)
Efra.gene7598_i0_length1533.p1	
Efra.gene30096_i0_length486.p1	Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)
Efra.gene16539_i1_length909.p1	Kunitz-type serine protease inhibitor (Venom trypsin inhibitor)
Efra.gene43037_i0_length354.p1	
Efra.gene27331_i1_length540.p1	Calmodulin (CaM)
Efra.gene17127_i0_length880.p1	Tropomyosin
Efra.gene25799_i1_length576.p1	Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Large fibroblast proteoglycan) (PG-M)
Efra.gene17580_i1_length858.p1	
Efra.gene6586_i0_length1651.p1	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)
Efra.gene27516_i0_length534.p1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)
Efra.gene42994_i0_length354.p1	
Efra.gene28977_i0_length507.p1	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)
Efra.gene13900_i0_length1047.p1	
Efra.gene22328_i1_length673.p1	Calponin-3 (Calponin, acidic isoform)
Efra.gene25967_i0_length570.p1	Myosin regulatory light chain 2, smooth muscle minor isoform (MLC-2) (DTNB) (G1) (Isoform L20-B1)
Efra.gene21137_i1_length711.p1	Serine protease inhibitor dipetalogastin (Dipetalin) (Fragment)
Efra.gene11716_i0_length1179.p1	Balbiani ring protein 3
