Accession	Filename	Unused	seq_length_summ	counts	Sc_summ	Psignal_summ	Sc_norm	Psignal_norm	SP_2	seq_length
Efra.gene24458_i0_length609.p1	1.2	20.88	155	10	158.0	105441.92400000003	0.5484174608777503	0.6189228817506512	0.5836701713142007	202
Efra.gene24458_i0_length609.p1	3.1	24.05	188	12	211.0	89678.02	0.6092224643272192	0.7512609938676417	0.6802417290974304	202
Efra.gene24458_i0_length609.p1	5.1	29.58	243	15	271.0	233496.5385	0.3086089211485279	0.39302812145631594	0.3508185213024219	202
Efra.gene24458_i0_length609.p1	5.2	23.1	186	12	187.0	106457.275	0.6089564625289222	0.7120378416449645	0.6604971520869434	202
Efra.gene21131_i1_length711.p1	1.2	20.75	174	11	152.0	75849.075	0.45158253912224966	0.3810771182493487	0.41632982868579915	236
Efra.gene21131_i1_length711.p1	5.1	22.18	172	11	192.0	77733.083	0.18714566886335146	0.11199237071476978	0.14956901978906062	236
Efra.gene17127_i0_length880.p1	1.3	23.0	165	11	122.0	16145.658199999998	1.0	1.0	1.0	292
Efra.gene17127_i0_length880.p1	3.1	21.3	141	11	142.0	28397.389399999996	0.2836287925527812	0.16457041500590405	0.22409960377934263	292
Efra.gene17127_i0_length880.p1	3.2	21.6	147	11	116.0	44884.68200000001	1.0	1.0	1.0	292
Efra.gene17127_i0_length880.p1	5.1	47.99	333	24	365.0	158974.42900000006	0.28754152247233683	0.18511387441847554	0.2363276984454062	292
Efra.gene17127_i0_length880.p1	5.2	21.43	133	10	124.0	39705.152	0.2793411008978178	0.1837143627626567	0.23152773183023723	292
Efra.gene1749_i1_length3021.p1	3.1	28.16	163	14	185.0	50086.80499999999	0.10714874311999972	0.0841685911264543	0.09565866712322701	1007
Efra.gene1749_i1_length3021.p1	5.1	49.46	300	25	359.0	158111.789	0.08200787016291475	0.053386239497046614	0.06769705482998067	1007
Efra.gene1749_i1_length3021.p1	5.2	27.74	167	14	171.0	77699.32599999999	0.11170243657326005	0.10424779559237882	0.10797511608281943	1007
Efra.gene1853_i0_length2945.p1	5.1	21.18	169	11	140.0	46801.70599999999	0.033269267062915005	0.016439207419367396	0.0248542372411412	968
Efra.gene14059_i2_length1041.p1	5.1	20.14	154	10	153.0	244973.37300000002	0.10142675028995399	0.24004018649402487	0.17073346839198944	347
