N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	22	22	74.260002374649	63.3700013160706	63.3700013160706	Efra.gene24458_i0_length609.p1	Efra.gene24458_i0_length609.p1		19					
2	20	20	65.0200009346008	46.8600004911423	46.8600004911423	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		18					
3	16.73	16.73	61.2999975681305	40.7499998807907	30.8200001716614	Efra.gene17127_i0_length880.p1	Efra.gene17127_i0_length880.p1		12					
4	14	14	31.3800007104874	11.4200003445148	9.13600027561188	Efra.gene1749_i1_length3021.p1	Efra.gene1749_i1_length3021.p1		7					
5	11.46	11.46	47.8799998760223	32.1999996900558	32.1999996900558	Efra.gene21131_i1_length711.p1	Efra.gene21131_i1_length711.p1		8					
6	10.05	10.05	58.8199973106384	58.8199973106384	58.8199973106384	Efra.gene29886_i0_length489.p1	Efra.gene29886_i0_length489.p1		18					
7	8.95	8.95	74.32000041008	45.8999991416931	45.8999991416931	Efra.gene26710_i0_length552.p1	Efra.gene26710_i0_length552.p1		5					
8	8.46	8.46	31.1199992895126	19.310000538826	15.8500000834465	Efra.gene14059_i2_length1041.p1	Efra.gene14059_i2_length1041.p1		5					
8	0.04	6.69	24.3900001049042	15.1199996471405	9.02400016784668	Efra.gene10979_i0_length1233.p1	Efra.gene10979_i0_length1233.p1		4					
8	0.04	6.69	21.4699998497963	16.2300005555153	9.68599990010262	Efra.gene12182_i0_length1149.p1	Efra.gene12182_i0_length1149.p1		4					
8	0	8.46	24.2599993944168	18.0600002408028	14.8200005292892	Efra.gene12819_i0_length1113.p1	Efra.gene12819_i0_length1113.p1		5					
8	0	6.66	22.9200005531311	19.9399992823601	11.6099998354912	Efra.gene14605_i0_length1011.p1	Efra.gene14605_i0_length1011.p1		3					
8	0	6.44	34.7499996423721	17.509999871254	14.3199995160103	Efra.gene12442_i0_length1134.p1	Efra.gene12442_i0_length1134.p1		5					
8	0	6.4	27.8200000524521	12.8600001335144	9.71100032329559	Efra.gene12280_i0_length1146.p1	Efra.gene12280_i0_length1146.p1		4					
8	0	6.4	23.0199992656708	12.9600003361702	9.78799983859062	Efra.gene10979_i3_length1134.p1	Efra.gene10979_i3_length1134.p1		4					
8	0	6.4	26.4099985361099	22.0799997448921	16.8799996376038	Efra.gene14059_i1_length735.p1	Efra.gene14059_i1_length735.p1		3					
9	8	8	27.2700011730194	20.0800001621246	20.0800001621246	Efra.gene19022_i1_length795.p1	Efra.gene19022_i1_length795.p1		4					
