N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	23	23	61.2999975681305	47.9499995708466	47.9499995708466	Efra.gene17127_i0_length880.p1	Tropomyosin	i0_length880.p1	12					
2	18.04	18.04	60.8900010585785	59.4099998474121	59.4099998474121	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	13					
3	14.67	14.67	21.7399999499321	19.0999999642372	17.5500005483627	cont|0010|KER	keratin 1 (epidermolytic hyperkeratosis) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	7					
3	0	14.67	21.7399999499321	19.0999999642372	17.5500005483627	cont|0009|KER	keratin 1 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	7					
3	0	14.67	21.7399999499321	19.0999999642372	17.5500005483627	cont|0007|K2C1_HUMAN	Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	7					
4	14	14	29.1799992322922	24.9300003051758	24.9300003051758	Efra.gene12442_i0_length1134.p1	Actin-1/2	i0_length1134.p1	8					
5	10.21	10.21	40.5900001525879	28.7099987268448	28.7099987268448	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		7					
6	9.57	9.57	41.839998960495	30.5400013923645	30.5400013923645	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	6					
6	0	9.57	27.649998664856	27.649998664856	27.649998664856	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	6					
6	0	8	38.3300006389618	25.9900003671646	25.9900003671646	Efra.gene18564_i1_length813.p1	Pentraxin fusion protein	i1_length813.p1	5					
7	8.16	8.16	47.8799998760223	32.6299995183945	32.6299995183945	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	5					
7	0	6.15	43.5400009155273	26.3200014829636	26.3200014829636	Efra.gene23746_i0_length630.p1	Cysteine and glycine-rich protein 2 (Cysteine-rich protein 2) (CRP2) (Double LIM protein 1) (DLP-1)	i0_length630.p1	4					
8	6.86	6.86	31.1300009489059	31.1300009489059	31.1300009489059	Efra.gene50115_i0_length321.p1	Efra.gene50115_i0_length321.p1		4					
9	6	6	34.0400010347366	34.0400010347366	34.0400010347366	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	3					
10	6	6	26.230001449585	26.230001449585	26.230001449585	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	4					
11	6	6	24.3399992585182	24.3399992585182	24.3399992585182	Efra.gene25967_i0_length570.p1	Myosin regulatory light chain 2, smooth muscle minor isoform (MLC-2) (DTNB) (G1) (Isoform L20-B1)	i0_length570.p1	3					
11	0	4	43.0599987506866	43.0599987506866	43.0599987506866	Efra.gene25967_i2_length219.p1	Myosin regulatory light chain 2, smooth muscle major isoform (MLC-2) (DTNB) (G1) (Isoform L20-A)	i2_length219.p1	2					
11	0	4	29.2499989271164	29.2499989271164	29.2499989271164	Efra.gene25967_i1_length321.p1	Myosin regulatory light chain 2, smooth muscle minor isoform (MLC-2) (DTNB) (G1) (Isoform L20-B1)	i1_length321.p1	2					
12	4.62	4.62	28.2099992036819	28.2099992036819	28.2099992036819	Efra.gene43037_i0_length354.p1	Efra.gene43037_i0_length354.p1		3					
13	4	4	16.0799995064735	5.29399998486042	5.29399998486042	Efra.gene7598_i0_length1533.p1	Efra.gene7598_i0_length1533.p1		2					
14	4	4	3.91199998557568	1.19000002741814	1.19000002741814	Efra.gene330_i0_length5295.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)	Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain	2					
15	4	4	59.799998998642	56.8599998950958	33.3299994468689	Efra.gene29886_i0_length489.p1	Efra.gene29886_i0_length489.p1		2					
16	4	4	21.5200006961823	17.9399996995926	17.9399996995926	cont|0014|TRYP_PIG	Trypsin 9-231 [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	2					
17	4	4	7.37200006842613	4.96799983084202	4.96799983084202	cont|0011|KER	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
17	0	4	7.75699988007545	5.22800013422966	5.22800013422966	cont|0008|KER	keratin 10, type I, cytoskeletal - human [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
17	0	4	7.87699967622757	5.30799999833107	5.30799999833107	cont|0004|KER	Keratin 10 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
