Accession	Description
Efra.gene16498_i0_length912.p1	
Efra.gene24458_i0_length609.p1	Myophilin
Efra.gene9182_i0_length1380.p1	
Efra.gene50115_i0_length321.p1	
Efra.gene29886_i0_length489.p1	
Efra.gene47379_i0_length333.p1	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]
Efra.gene35579_i0_length414.p1	
Efra.gene14678_i0_length1005.p1	Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2) (TIMP-2)
Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)
Efra.gene330_i0_length5295.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain] (Fragment)
Efra.gene26710_i0_length552.p1	Profilin
Efra.gene18607_i0_length813.p1	Sushi domain-containing protein 2
Efra.gene10049_i0_length1308.p1	
Efra.gene49354_i0_length324.p1	Protocadherin Fat 3 (hFat3) (Cadherin family member 15) (FAT tumor suppressor homolog 3)
Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)
Efra.gene56589_i0_length261.p1	
Efra.gene62669_i0_length282.p1	Neuromacin-like protein
Efra.gene42958_i0_length354.p1	Tenascin-R (TN-R) (Restrictin)
Efra.gene399_i0_length4974.p1	Fibropellin-1 (Epidermal growth factor-related protein 1) (Fibropellin-I) (SpEGF I) (UEGF-1)
Efra.gene16536_i2_length909.p1	
Efra.gene41171_i0_length356.p1	
Efra.gene19022_i1_length795.p1	Fucolectin-4
Efra.gene482_i1_length4723.p1	Pregnancy zone protein (Alpha-2-macroglobulin) (Alpha-2-M) [Cleaved into: Alpha-2-macroglobulin 165 kDa subunit; Alpha-2-macroglobulin 35 kDa subunit]
Efra.gene42777_i0_length357.p1	
Efra.gene25400_i0_length486.p1	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)
Efra.gene12747_i0_length1116.p1	
Efra.gene110165_i0_length213.p1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Lymphocyte antigen 41) (Ly-41) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Cleaved into: Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form] [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]
Efra.gene32379_i0_length452.p1	
Efra.gene91141_i0_length234.p1	
Efra.gene23450_i0_length639.p1	Fibropellin-1 (Epidermal growth factor-related protein 1) (Fibropellin-I) (SpEGF I) (UEGF-1)
Efra.gene9742_i0_length1332.p1	Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein)
Efra.gene6959_i0_length1608.p1	Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein)
Efra.gene20233_i0_length744.p1	C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280)
Efra.gene68755_i0_length267.p1	
Efra.gene38556_i0_length385.p1	
Efra.gene99937_i0_length225.p1	
Efra.gene42768_i0_length273.p1	
Efra.gene41171_i1_length366.p1	
Efra.gene31160_i0_length470.p1	
Efra.gene19055_i3_length734.p1	Fibrinogen-like protein A (FREP-A)
Efra.gene12442_i0_length1134.p1	Actin-1/2
Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)
Efra.gene17127_i0_length880.p1	Tropomyosin
Efra.gene1853_i0_length2945.p1	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)
Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)
Efra.gene27122_i0_length543.p1	Globin C, coelomic
Efra.gene59690_i0_length288.p1	Cysteine-rich protein 1 (CRP-1)
Efra.gene43037_i0_length354.p1	
Efra.gene25967_i0_length570.p1	Myosin regulatory light chain 2, smooth muscle minor isoform (MLC-2) (DTNB) (G1) (Isoform L20-B1)
Efra.gene18178_i0_length831.p1	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)
Efra.gene349_i0_length5181.p1	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3b alpha' chain; Complement C3f fragment]
Efra.gene22328_i1_length673.p1	Calponin-3 (Calponin, acidic isoform)
Efra.gene9478_i0_length1353.p1	Gelsolin-like protein 2 (Actin-modulator) (EWAM-P2)
Efra.gene26421_i0_length561.p1	Globin C, coelomic
Efra.gene30096_i0_length486.p1	Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)
Efra.gene25799_i1_length576.p1	Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Large fibroblast proteoglycan) (PG-M)
Efra.gene7598_i0_length1533.p1	
Efra.gene20233_i3_length579.p1	C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280)
Efra.gene26810_i2_length552.p1	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)
Efra.gene28977_i0_length507.p1	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)
Efra.gene6586_i0_length1651.p1	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)
Efra.gene6459_i2_length357.p1	LIM domain-containing protein 2
Efra.gene37076_i0_length399.p1	Calmodulin (CaM)
Efra.gene33821_i0_length432.p1	Metallothionein (MT)
Efra.gene70882_i0_length264.p1	
Efra.gene48207_i0_length327.p1	Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1)
Efra.gene27516_i0_length534.p1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)
Efra.gene22225_i1_length309.p1	Calmodulin-beta (Cam B) (Fragment)
Efra.gene21462_i0_length701.p1	Alpha-crystallin B chain (Alpha(B)-crystallin)
