Accession	Filename	Unused	seq_length_summ	counts	Sc_summ	Pep_intensity__summ	Sc_norm	Pep_intensity__norm	SP_2	seq_length
Efra.gene10049_i0_length1308.p1	0.1	2.0	14	1	10.0	1809.547	0.002073717326935157	0.0012541137249810646	0.0016639155259581108	435
Efra.gene10049_i0_length1308.p1	0.2	4.05	233	14	174.0	12197.382500000003	0.04010889620148822	0.02021202424331458	0.0301604602224014	435
Efra.gene10049_i0_length1308.p1	0.3	7.02	46	4	53.0	3875.7769	0.01378515535274412	0.009472925876132044	0.011629040614438082	435
Efra.gene10049_i0_length1308.p1	0.4	6.0	34	3	28.0	3464.9772	0.00710627848004334	0.0025786766975902024	0.004842477588816771	435
Efra.gene10049_i0_length1308.p1	1.3	2.3	29	2	20.0	1192.578	0.004814894740827971	0.0024493807029648566	0.003632137721896414	435
Efra.gene10049_i0_length1308.p1	1.4	3.54	120	9	85.0	10371.0345	0.01568522339036447	0.008260588118482485	0.011972905754423478	435
Efra.gene10049_i0_length1308.p1	3.1	2.0	70	5	47.0	4630.1908	0.005049967350035384	0.003291380783668013	0.004170674066851699	435
Efra.gene10049_i0_length1308.p1	3.2	1.36	126	9	102.0	25757.622	0.02251311983853238	0.018718299074041517	0.02061570945628695	435
Efra.gene10049_i0_length1308.p1	3.4	2.99	22	2	19.0	3457.1397	0.002896284675077099	0.002133719464533567	0.002515002069805333	435
Efra.gene10049_i0_length1308.p1	5.1	0.79	98	7	69.0	8394.2326	0.004167962911889756	0.0023438241199995715	0.003255893515944664	435
Efra.gene10049_i0_length1308.p1	5.3	2.0	206	13	134.0	16068.748100000004	0.013005337250081062	0.008837813347993306	0.010921575299037183	435
Efra.gene10049_i0_length1308.p1	5.4	2.02	110	8	69.0	0	0.008403141860264075	0	0.004201570930132037	435
Efra.gene10049_i0_length1308.p1	7.1	1.23	24	2	18.0	2239.2169999999996	0.0015698564299129127	0.000900951694173363	0.0012354040620431378	435
Efra.gene10049_i0_length1308.p1	7.2	9.08	111	8	75.0	11195.0605	0.007743517510053683	0.006981799481849139	0.007362658495951411	435
Efra.gene10049_i0_length1308.p1	10.1	2.55	23	2	17.0	2626.452	0.0012576744761612741	0.0008315988558461894	0.0010446366660037318	435
Efra.gene10049_i0_length1308.p1	10.2	2.07	176	12	105.0	0	0.0117990875798152	0	0.0058995437899076	435
Efra.gene10049_i0_length1308.p1	10.3	2.0	110	7	67.0	6202.3018	0.008265638171393492	0.005128927299546603	0.006697282735470047	435
Efra.gene10049_i0_length1308.p1	12.2	4.01	98	6	55.0	4934.6257000000005	0.0055475530003787086	0.0025029528268474964	0.004025252913613103	435
Efra.gene10049_i0_length1308.p1	12.3	3.66	23	2	22.0	1796.4891000000002	0.0021946957760136674	0.0010009688443061253	0.0015978323101598964	435
Efra.gene10189_i0_length1293.p1	3.1	2.03	27	2	19.0	1771.4789	0.0020652142576963115	0.0012739020213926183	0.0016695581395444648	430
Efra.gene10189_i0_length1293.p1	5.1	4.13	35	3	27.0	4414.4130000000005	0.0016499064509654597	0.0012469176820872963	0.001448412066526378	430
Efra.gene10189_i0_length1293.p1	5.3	4.04	59	4	34.0	3001.482	0.003338232175090227	0.0016700109821224257	0.0025041215786063263	430
Efra.gene10189_i0_length1293.p1	7.1	3.77	27	2	27.0	1907.4173999999998	0.0023821658616701756	0.0007763755771742947	0.0015792707194222351	430
Efra.gene10189_i0_length1293.p1	7.2	2.01	18	1	11.0	662.6431	0.0011489219003288952	0.00041806268762417323	0.0007834922939765342	430
Efra.gene10189_i0_length1293.p1	7.3	8.0	53	4	42.0	3975.4307	0.0038236259799830498	0.001912215323915053	0.0028679206519490515	430
