N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
1	16.13	16.13	57.9200029373169	51.9800007343292	51.9800007343292	Efra.gene24458_i0_length609.p1	Myophilin	i0_length609.p1	16					
2	10.37	10.37	16.9799998402596	10.1300001144409	5.46200014650822	Efra.gene1749_i1_length3021.p1	Major yolk protein (MYP) (Vitellogenin)	i1_length3021.p1	4					
3	8.9	8.9	54.1299998760223	43.2300001382828	43.2300001382828	Efra.gene16498_i0_length912.p1	Efra.gene16498_i0_length912.p1		13					
4	8.32	8.32	45.8999991416931	45.8999991416931	45.8999991416931	Efra.gene26710_i0_length552.p1	Profilin	i0_length552.p1	5					
5	7.89	7.89	25.6500005722046	15.4499992728233	12.8299996256828	Efra.gene12182_i0_length1149.p1	Actin, non-muscle 6.2	i0_length1149.p1	5					
5	0	7.89	17.7200004458427	15.6100004911423	12.9600003361702	Efra.gene10979_i3_length1134.p1	Actin, non-muscle 6.2	i3_length1134.p1	5					
5	0	7.56	29.4400006532669	17.509999871254	17.509999871254	Efra.gene12442_i0_length1134.p1	Actin-1/2	i0_length1134.p1	6					
5	0	7.56	23.8999992609024	11.9499996304512	11.9499996304512	Efra.gene10979_i0_length1233.p1	Actin, non-muscle 6.2	i0_length1233.p1	5					
5	0	7.56	24.779999256134	14.1200006008148	14.1200006008148	Efra.gene14059_i2_length1041.p1	Actin, cytoskeletal (M)	i2_length1041.p1	5					
5	0	7.56	22.5700005888939	12.8600001335144	12.8600001335144	Efra.gene12280_i0_length1146.p1	Actin, clone 205	i0_length1146.p1	5					
5	0	7.56	15.8999994397163	13.2100000977516	13.2100000977516	Efra.gene12819_i0_length1113.p1	Actin, cytoplasmic [Cleaved into: Actin, cytoplasmic, intermediate form]	Cleaved into: Actin, cytoplasmic, intermediate form	5					
6	6	6	29.2400002479553	21.6100007295609	21.6100007295609	Efra.gene21131_i1_length711.p1	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	i1_length711.p1	3					
6	0	4	22.4900007247925	13.8799995183945	13.8799995183945	Efra.gene23746_i0_length630.p1	Cysteine and glycine-rich protein 2 (Cysteine-rich protein 2) (CRP2) (Double LIM protein 1) (DLP-1)	i0_length630.p1	2					
7	5.36	5.36	34.0400010347366	34.0400010347366	34.0400010347366	Efra.gene34277_i0_length426.p1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	i0_length426.p1	3					
8	5.24	5.24	36.3599985837936	27.649998664856	10.6100000441074	Efra.gene19022_i1_length795.p1	Fucolectin-4	i1_length795.p1	2					
8	0	5.24	40.1699990034103	30.5400013923645	11.7200002074242	Efra.gene18564_i2_length720.p1	Pentraxin fusion protein	i2_length720.p1	2					
8	0	3.02	32.1599990129471	25.9900003671646	6.16700015962124	Efra.gene18564_i1_length813.p1	Pentraxin fusion protein	i1_length813.p1	1					
9	4.7	4.7	17.4500003457069	9.60799977183342	9.60799977183342	Efra.gene7598_i0_length1533.p1	Efra.gene7598_i0_length1533.p1		3					
10	4.65	4.65	2.95700002461672	2.95700002461672	2.95700002461672	Efra.gene399_i0_length4974.p1	Fibropellin-1 (Epidermal growth factor-related protein 1) (Fibropellin-I) (SpEGF I) (UEGF-1)	i0_length4974.p1	3					
10	0	3.77	45.3500002622604	37.2099995613098	37.2099995613098	Efra.gene399_i1_length261.p1	Thyroglobulin (Tg)	i1_length261.p1	2					
11	4.33	4.33	29.2499989271164	29.2499989271164	29.2499989271164	Efra.gene50115_i0_length321.p1	Efra.gene50115_i0_length321.p1		3					
12	4	4	21.5200006961823	21.5200006961823	17.9399996995926	cont|0014|TRYP_PIG	Trypsin 9-231 [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	2					
13	3.48	3.48	44.7200000286102	29.1900008916855	21.7399999499321	Efra.gene30096_i0_length486.p1	Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin)	i0_length486.p1	2					
14	3.28	3.28	18.5399994254112	10.9300002455711	10.9300002455711	Efra.gene16539_i1_length909.p1	Kunitz-type serine protease inhibitor (Venom trypsin inhibitor)	i1_length909.p1	2					
14	0	2	11.540000140667	6.1540000140667	6.1540000140667	Efra.gene16539_i3_length783.p1	Four-domain proteases inhibitor (McaPI)	i3_length783.p1	1					
14	0	2	27.0300000905991	14.4099995493889	14.4099995493889	Efra.gene16539_i2_length336.p1	Protease inhibitor 2 (CmPI-II) (Protease inhibitor-II)	i2_length336.p1	1					
15	3.22	3.22	13.3499994874001	3.41599993407726	3.41599993407726	cont|0009|KER	keratin 1 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
15	0	3.22	13.3499994874001	3.41599993407726	3.41599993407726	cont|0007|K2C1_HUMAN	Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
15	0	3.22	10.5599999427795	3.41599993407726	3.41599993407726	cont|0010|KER	keratin 1 (epidermolytic hyperkeratosis) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
16	3.12	3.12	37.610000371933	28.2099992036819	28.2099992036819	Efra.gene43037_i0_length354.p1	Efra.gene43037_i0_length354.p1		3					
17	3.1	3.12	25.6999999284744	25.6999999284744	16.7600005865097	Efra.gene27331_i1_length540.p1	Calmodulin (CaM)	i1_length540.p1	2					
