Accession	Filename	Unused	seq_length_summ	counts	Sc_summ	Pep_intensity__summ	Sc_norm	Pep_intensity__norm	SP_2	seq_length
Efra.gene10049_i0_length1308.p1	0.1	2.0	14	1	10.0	1809.547	0.0020850719632220017	0.001263013281764803	0.0016740426224934025	435
Efra.gene10049_i0_length1308.p1	0.2	4.05	106	7	85.0	7673.361999999998	0.01987630702618377	0.012963464528166435	0.016419885777175104	435
Efra.gene10049_i0_length1308.p1	0.3	7.02	46	4	53.0	3875.7769	0.013890955738528622	0.009507619675528555	0.011699287707028588	435
Efra.gene10049_i0_length1308.p1	0.4	6.0	34	3	28.0	3464.9772	0.00710627848004334	0.0025786766975902024	0.004842477588816771	435
Efra.gene10049_i0_length1308.p1	1.3	2.3	29	2	20.0	1192.578	0.004960951270793836	0.002581693679814523	0.0037713224753041794	435
Efra.gene10049_i0_length1308.p1	1.4	6.7	61	5	48.0	6172.7809	0.00893126760702279	0.004956283318317551	0.0069437754626701705	435
Efra.gene10049_i0_length1308.p1	3.1	3.16	35	3	27.0	3519.871	0.0029220727154789317	0.002524303363771419	0.002723188039625175	435
Efra.gene10049_i0_length1308.p1	3.2	7.8	63	5	57.0	15186.997	0.012698094050489009	0.011220650460595871	0.01195937225554244	435
Efra.gene10049_i0_length1308.p1	3.4	2.99	22	2	19.0	3457.1397	0.002908815881124493	0.00214747253858324	0.0025281442098538665	435
Efra.gene10049_i0_length1308.p1	5.1	0.79	49	4	38.0	5835.906800000001	0.002280559176889194	0.0016723588493930397	0.001976459013141117	435
Efra.gene10049_i0_length1308.p1	5.3	8.15	103	7	72.0	9629.541600000002	0.0073448063346604675	0.005489545942151727	0.0064171761384060975	435
Efra.gene10049_i0_length1308.p1	5.4	2.02	38	3	30.0	0	0.003669024136065002	0	0.001834512068032501	435
Efra.gene10049_i0_length1308.p1	7.1	1.23	24	2	18.0	2239.2169999999996	0.0015825396706509395	0.0009163888443661162	0.0012494642575085278	435
Efra.gene10049_i0_length1308.p1	7.2	9.08	111	8	75.0	11195.0605	0.007872867773648812	0.007174534109864157	0.007523700941756485	435
Efra.gene10049_i0_length1308.p1	10.1	2.55	23	2	17.0	2626.452	0.0013873544373040753	0.0009207696503338296	0.0011540620438189523	435
Efra.gene10049_i0_length1308.p1	10.2	8.33	83	6	53.0	0	0.005983622306123616	0	0.002991811153061808	435
